Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1933,-.28,-.25,-.31,-.24,-.27,-.34,-.14,-.46,-.12,-.27,-.27,-.22,-.48,-1.15
1934,-.12,.01,-.25,.18,-.24,-.26,.90,.31,-.13,-.24,-.24,-.15,-.38,-.57
1935,-.20,-.09,-.30,-.05,-.17,-.37,.33,-.04,-.16,-.15,-.20,-.30,-.41,-1.72
1936,-.14,-.03,-.26,-.02,-.12,-.30,.41,.11,-.26,-.03,-.20,-.26,-.33,-.04
1937,-.03,.12,-.17,.20,-.05,-.22,1.23,.03,-.03,.02,-.11,-.19,-.25,.36
1938,.00,.16,-.18,.39,-.22,-.10,1.52,.39,.02,-.16,-.27,-.06,-.11,-.87
1939,-.02,.09,-.12,.22,-.11,-.12,.55,.29,.08,-.10,-.13,-.04,-.18,-1.60
1940,.13,.18,.09,.11,.28,-.07,.99,-.02,-.10,.28,.29,.03,-.20,-.06
1941,.19,.23,.17,.01,.49,-.05,.01,-.10,.08,.55,.44,.04,-.15,-.47
1942,.07,.13,.01,.13,.08,-.01,.72,-.06,.06,.12,.04,.06,-.05,-.90
1943,.09,.18,-.01,.37,-.08,.04,1.42,.28,.10,-.10,-.07,.07,.00,1.13
1944,.20,.27,.14,.38,.19,.05,1.18,.47,.09,.12,.27,.18,-.09,-.96
1945,.09,.11,.09,.11,.17,-.03,.65,-.02,.04,.11,.24,.03,.00,-1.79
1946,-.07,.03,-.17,.06,-.04,-.24,-.03,-.05,.16,-.02,-.07,-.22,-.24,-.19
1947,-.03,.08,-.13,.15,-.06,-.16,1.07,-.13,.04,-.03,-.09,-.19,-.08,-.23
1948,-.11,-.02,-.20,.13,-.18,-.24,.12,.32,.00,-.22,-.14,-.19,-.19,-1.39
1949,-.11,-.03,-.19,.11,-.19,-.23,.20,.17,.05,-.23,-.15,-.18,-.15,-1.99
1950,-.17,-.15,-.21,-.05,-.29,-.14,.18,-.31,.04,-.30,-.28,-.06,-.16,-.87
1951,-.07,.04,-.18,.08,-.06,-.23,.07,.01,.12,.00,-.12,-.22,-.16,-.70
1952,.01,.06,-.03,.11,.02,-.09,.27,-.09,.19,-.01,.04,-.10,-.02,-.51
1953,.08,.24,-.08,.35,.07,-.18,1.03,.35,.14,.08,.06,-.08,-.24,-1.12
1954,-.13,-.02,-.25,.06,-.21,-.22,.80,-.21,.00,-.14,-.28,-.17,-.20,-.81
1955,-.14,-.09,-.20,.04,-.34,-.06,-.23,-.11,.23,-.29,-.38,-.16,-.08,1.22
1956,-.19,-.23,-.16,-.20,-.33,.01,.01,-.47,-.09,-.29,-.37,-.14,.02,.77
1957,.05,.04,.05,.03,.08,.02,.09,.22,-.11,.06,.10,-.09,-.02,.49
1958,.06,.15,-.02,.08,.21,-.15,-.17,.14,.12,.26,.15,-.08,-.08,-.53
1959,.03,.13,-.06,.16,.08,-.16,.49,.18,.04,.07,.08,-.03,-.26,-.36
1960,-.02,.08,-.13,.09,.02,-.20,.34,-.07,.11,.06,-.02,-.10,-.07,-.75
1961,.06,.08,.03,.19,-.03,.05,-.16,.38,.18,-.07,.00,.14,-.17,.21
1962,.03,.13,-.06,.24,-.05,-.08,.44,.31,.14,-.04,-.05,.09,-.07,-.65
1963,.05,.14,-.03,.14,.12,-.12,-.16,.31,.13,.13,.10,-.10,-.17,-.03
1964,-.20,-.19,-.20,-.23,-.14,-.24,-.65,-.20,-.11,-.14,-.14,-.30,-.07,-.38
1965,-.11,-.14,-.07,-.18,-.03,-.13,-.28,-.24,-.12,-.08,.02,-.23,-.03,.00
1966,-.06,-.02,-.09,-.14,.08,-.15,-.76,-.19,.09,.16,-.01,-.24,-.14,.11
1967,-.02,.03,-.08,.12,-.14,-.01,.36,.26,-.05,-.11,-.17,-.09,-.02,.30
1968,-.08,-.07,-.09,-.10,-.07,-.08,-.33,-.02,-.08,-.02,-.11,-.14,.00,-.07
1969,.05,-.03,.14,-.29,.33,.02,-.04,-.61,-.17,.35,.32,.00,.13,-.14
1970,.03,-.04,.09,-.11,.07,.11,-.20,-.13,-.06,.07,.06,.11,.03,.31
1971,-.08,-.15,-.02,-.06,-.26,.13,-.08,.01,-.10,-.30,-.22,.03,.16,.44
1972,.01,-.18,.20,-.34,.16,.14,-.37,-.47,-.24,.06,.26,.16,-.02,.45
1973,.16,.09,.23,.10,.18,.18,.06,.27,.02,.08,.29,.22,.08,.34
1974,-.07,-.18,.03,-.14,-.20,.18,-.19,-.07,-.18,-.23,-.17,.21,-.08,.65
1975,-.01,-.05,.02,.12,-.24,.16,.10,.39,-.05,-.31,-.17,.13,.14,.29
1976,-.10,-.21,.01,-.26,-.12,.09,-.08,-.32,-.28,-.13,-.10,.10,.22,-.24
1977,.18,.12,.24,.13,.16,.25,.16,.24,.06,.10,.22,.22,.31,.28
1978,.07,.02,.11,-.03,.08,.16,-.16,.04,-.04,.10,.05,.21,.13,.04
1979,.16,.08,.25,-.03,.26,.23,-.61,.07,.09,.25,.27,.29,.33,-.20
1980,.26,.17,.35,.06,.31,.39,.26,.02,.02,.33,.29,.35,.37,.59
1981,.32,.37,.27,.48,.18,.36,1.09,.79,.08,.22,.14,.28,.39,.61
1982,.14,.05,.23,-.08,.27,.18,-.40,.10,-.08,.25,.29,.18,.32,-.11
1983,.31,.25,.38,.22,.43,.24,.19,.69,-.07,.29,.57,.21,.41,.05
1984,.16,.04,.27,.02,.18,.26,.37,.08,-.13,.07,.29,.16,.32,.51
1985,.12,.00,.24,-.03,.09,.30,.38,-.26,-.01,.04,.14,.30,.44,.04
1986,.18,.13,.23,.10,.23,.20,.00,.28,.03,.18,.27,.25,.25,-.10
1987,.32,.25,.40,.04,.58,.25,-.36,.13,.12,.55,.62,.32,.25,.01
1988,.39,.37,.41,.40,.37,.39,.60,.57,.24,.32,.43,.38,.20,.88
1989,.27,.27,.27,.41,.13,.33,.33,.69,.25,.07,.19,.36,.30,.33
1990,.45,.53,.37,.63,.37,.37,.58,.88,.49,.37,.36,.37,.37,.35
1991,.40,.41,.40,.47,.36,.39,.75,.66,.26,.32,.40,.31,.29,.96
1992,.22,.14,.31,.10,.28,.27,-.17,.44,-.03,.20,.36,.20,.33,.40
1993,.23,.19,.27,.13,.32,.22,.55,.29,-.11,.28,.35,.27,.39,-.31
1994,.31,.37,.26,.43,.31,.20,.34,.50,.42,.28,.33,.26,.23,-.05
1995,.44,.58,.31,.70,.42,.22,1.31,.99,.32,.40,.44,.29,.15,.14
1996,.33,.26,.40,.23,.31,.46,.77,.17,.10,.31,.32,.33,.28,1.35
1997,.46,.52,.41,.53,.51,.33,.77,.90,.23,.50,.52,.42,.36,-.03
1998,.61,.70,.51,.78,.69,.32,.86,.94,.66,.59,.78,.39,.31,.12
1999,.38,.48,.28,.70,.20,.30,.40,.80,.74,.15,.25,.46,.19,.00
2000,.39,.50,.28,.70,.24,.29,.97,.80,.55,.20,.28,.42,.10,.26
2001,.53,.64,.43,.80,.42,.42,1.06,.86,.68,.40,.44,.58,.24,.26
2002,.62,.71,.54,.83,.59,.47,1.25,1.00,.58,.54,.63,.50,.31,.76
2003,.62,.75,.49,.84,.63,.37,1.50,.98,.54,.61,.66,.45,.24,.39
2004,.53,.66,.41,.72,.54,.32,.46,.95,.66,.56,.53,.48,.23,-.04
2005,.67,.85,.49,1.01,.61,.41,1.98,1.23,.57,.62,.61,.49,.18,.65
2006,.63,.81,.45,.99,.55,.40,1.73,1.06,.70,.56,.54,.51,.19,.42
2007,.66,.85,.47,1.13,.46,.47,2.09,1.32,.69,.44,.47,.50,.07,1.23
2008,.54,.68,.40,.91,.37,.39,1.52,1.08,.62,.33,.41,.53,.09,.61
2009,.65,.72,.59,.78,.67,.51,1.42,.60,.68,.65,.69,.60,.15,.96
2010,.72,.90,.55,1.02,.68,.48,2.21,.87,.74,.71,.64,.63,.20,.54
2011,.61,.74,.47,.98,.36,.56,2.34,.94,.58,.38,.34,.64,.18,1.10
2012,.65,.81,.48,1.04,.52,.42,2.20,.93,.74,.47,.56,.56,.19,.43
2013,.67,.80,.55,.95,.57,.54,1.53,1.04,.69,.58,.57,.63,.22,.87
2014,.74,.92,.57,1.07,.66,.52,2.02,1.14,.73,.69,.64,.72,.18,.56
2015,.90,1.17,.62,1.31,.95,.41,1.99,1.48,.99,.97,.93,.75,.18,-.31
2016,1.01,1.30,.72,1.55,1.00,.49,3.24,1.44,1.07,.95,1.06,.67,.25,.38
2017,.92,1.17,.67,1.39,.81,.60,2.49,1.38,1.04,.86,.76,.76,.35,.54
2018,.85,1.03,.66,1.24,.67,.68,2.13,1.09,1.05,.72,.62,.80,.37,.95
2019,.97,1.21,.74,1.42,.89,.65,2.71,1.43,.99,.90,.88,.75,.39,.83
2020,1.01,1.35,.68,1.67,.85,.57,2.89,1.82,1.18,.88,.83,.58,.39,.89
2021,.84,1.14,.55,1.42,.65,.53,2.04,1.36,1.26,.72,.58,.72,.32,.30
2022,.89,1.16,.62,1.52,.56,.70,2.34,1.51,1.27,.62,.49,.79,.39,1.08
